"","Name","pos","exp","hgt","Team","conf","mpg","ppg","rpg","apg","spg","bpg","two_pct","three_pct","ft_pct","tov","ast_to","efg","ts","usg","ortg","drtg","rim_pct","mid_pct","obpm","dbpm","bpm","ftr","pfr","Rating","year"
"11","Robby Carmody","Wing G","Jr","6-4","Mercer","SC",17.4828,7.5172,1.8621,0.7586,0.6897,0.1379,0.48,0.379,0.773,1.44830002300556,0.5237865,51.9,57.5,22.1,101.8,110.289,0.5179,0.3684,-1.60124,-1.37237,-2.9736,49.6,4.6,59,2024
"12","Will McNair Jr.","C","Sr","6-11","Kansas St.","B12",22.7879,7.9697,5.3636,0.7879,0.5455,1.1818,0.64,0.25,0.537,1.45450002166336,0.54169817,62.9,62.13,17,107.2,98.372,0.7596,0.48,0.590194,3.45111,4.0413,29,3.9,80,2024
"13","Robert Allen","C","Sr","6-8","North Texas","Amer",23.2353,7.6471,7.0294,1.1765,0.9412,0.6471,0.542,0,0.662,1.0294000234054,1.14289875,53.6,56.45,19.7,120.7,98.1286,0.656,0.2692,2.83542,1.47454,4.30996,44.7,4.3,81,2024
"14","Emmanuel Dowuona","C","Sr","6-10","Tennessee St.","OVC",7.9565,1.5652,1.2609,0.1739,0.087,0.0435,0.5,0,0.65,0.521700052170005,0.3333333,50,56.36,12.5,90.9,108.154,0.4615,0.6,-7.41092,-1.27504,-8.68595,111.1,9,44,2024
"15","Jermaine Couisnard","Combo G","Sr","6-4","Oregon","P12",32.3056,16.5833,4.5556,3.3333,1.5556,0.1944,0.439,0.346,0.754,1.66669995099753,1.99994006,47.3,51.7,27.5,108.7,104.911,0.4872,0.3817,4.26926,1.1069,5.37616,33.5,2.7,85,2024
"16","Markeese Hastings","PF/C","Sr","6-7","Robert Morris","Horz",30.6774,14.4194,7.8387,1.6774,0.8065,0.7419,0.542,0.389,0.75,2.45160008120944,0.68420621,55,58.31,23.9,109.2,109.61,0.6441,0.2917,1.51068,-1.02046,0.490224,34.3,3.2,73,2024
"17","Josiah Strong","Wing G","Sr","6-4","Colorado St.","MWC",25.2667,6.5667,2.5667,1.5333,0.4667,0.1,0.655,0.214,0.727,0.766700008008022,1.99986955,47.5,49.83,15.1,100.7,105.858,0.7407,0.5,-1.27424,1.00651,-0.267735,18.1,2.7,75,2024
"18","Donovann Toatley","Combo G","Sr","5-10","Detroit","Horz",19.3571,9.6429,1.6429,1.2857,0.7857,0,0.385,0.307,0.545,1.642900031239,0.78257957,42.2,42.66,32.2,82.8,119.068,0.4839,0.3191,-1.06261,-4.08542,-5.14803,7.2,2.7,52,2024
"19","Jose Perez","Combo G","Sr","6-5","Arizona St.","P12",30.9,13.5333,3.8333,2.7,0.9333,0.3,0.439,0.405,0.738,1.56669995265781,1.72336764,46.3,53.89,23.4,106.3,107.791,0.5364,0.3692,1.60736,0.256649,1.86401,66.8,2.4,80,2024
"20","Vincent Lee","C","Sr","6-9","Cal St. Fullerton","BW",13.6786,4.4643,2.2143,0.25,0.4286,0.25,0.65,0,0.579,0.678600019929125,0.36840553,65,64.59,16.1,115.1,106.248,0.75,0.4643,0.258619,0.0581195,0.316739,23.8,3.6,62,2024
"21","K.J. Hymes","C","Sr","6-10","Nevada","MWC",15.9375,5.6875,3,0.3438,0.1875,0.8438,0.6,0,0.531,0.874999968186447,0.3929143,59.3,58.06,18.8,104.9,101.155,0.629,0.5357,-2.43176,1.48464,-0.947122,124.2,6.8,68,2024
"22","Kaosi Ezeagu","C","Sr","6-10","New Mexico St.","CUSA",25.875,8.8125,6.3438,0.4688,0.4688,0.6562,0.566,0,0.512,1.31249997200299,0.35718096,56.3,55.88,18.3,103.4,108.745,0.6471,0.4507,-1.16402,-1.05016,-2.21418,47.1,4.9,67,2024
"23","Jack Clark","Stretch 4","Sr","6-10","Clemson","ACC",23.48,4.72,4.88,1.4,0.8,0.52,0.49,0.308,0.769,0.5600000112,2.49999995,47.6,51.15,12.1,114.6,102.355,0.5405,0.3846,1.90217,3.68669,5.58886,25.2,2.7,82,2024
"24","Jahvon Quinerly","Scoring PG","Sr","6-1","Memphis","Amer",32.9062,13.5312,3.2812,4.9062,1.3438,0.0625,0.461,0.345,0.792,2.28119996027917,2.15071019,48.8,53.72,21.9,111.2,108.002,0.5098,0.3947,1.83963,-0.164628,1.67501,34.7,2.1,84,2024
